months:,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
2022-08-18,1.96908325,2.390626446,2.744351697,3.044923212,3.291710371,3.482828185,3.622568675,3.716063954,3.773015695,3.801807584,3.808936685,3.798949039,3.776111804,3.742612005,3.70006756,3.650096383,3.59431639,3.534345498,3.471703712,3.407409402,3.342320719,3.277295739,3.213192543,3.150869208,3.091058584,3.033883069,2.979279331,2.927183993,2.877533679,2.830265012,2.785314616,2.742619113,2.702115129,2.663739285,2.627428206,2.593118515,2.560741582,2.530205587,2.501412311,2.474263534,2.448661037,2.424506601,2.401702007,2.380149035,2.359749467,2.340405083,2.322017663,2.30448899,2.287732942,2.271716815,2.256422643,2.241832459,2.227928295,2.214692185,2.202106163,2.190152262,2.178812514,2.168068954,2.157903614,2.148298527
2022-08-19,1.973959413,2.392732448,2.749569198,3.056560648,3.312162026,3.512426205,3.659645086,3.758842906,3.819021672,3.848666235,3.854604588,3.842597051,3.817965364,3.783338581,3.740501175,3.69123742,3.637331592,3.580567965,3.522544297,3.463993145,3.405396371,3.347235809,3.289993295,3.234150665,3.180113755,3.127952875,3.07764577,3.029170178,2.982503842,2.937624502,2.894509899,2.853137773,2.813485864,2.775531914,2.739253664,2.704628853,2.671630554,2.640211225,2.610317637,2.581896561,2.554894769,2.529259032,2.50493612,2.481872805,2.460015859,2.439312052,2.419708155,2.40115094,2.383590985,2.366995675,2.351337032,2.336587079,2.322717838,2.309701331,2.297509582,2.286114611,2.275488442,2.265603097,2.256430598,2.247942968
2022-08-22,2.043714752,2.462089996,2.830327245,3.14914082,3.416943718,3.630963013,3.79104472,3.90131672,3.968616321,4.002619376,4.010979209,4.00056188,3.978512909,3.94739918,3.908523677,3.863189383,3.812699281,3.758356356,3.701373445,3.642545219,3.582545188,3.522046845,3.461723685,3.402249205,3.344201623,3.287738534,3.232901487,3.179732025,3.128271696,3.078562043,3.030644613,2.98456095,2.9403526,2.898061107,2.857728018,2.819394877,2.783084421,2.748736342,2.716267425,2.685594453,2.65663421,2.629303478,2.60351904,2.57919768,2.556256182,2.534611327,2.5141799,2.494878683,2.47663062,2.459391833,2.443129566,2.427811073,2.413403604,2.399874412,2.387190751,2.375319871,2.364229026,2.353885468,2.344256448,2.33530922
2022-08-23,2.048603117,2.469595505,2.847603825,3.178674819,3.460477352,3.691088464,3.869790931,3.999399424,4.085883792,4.137743083,4.161919313,4.164566518,4.151743064,4.126264832,4.090078679,4.045131462,3.993370037,3.93674126,3.877027338,3.81524671,3.752196508,3.688673843,3.625475827,3.563399569,3.503122891,3.444796963,3.388427662,3.334020858,3.281582424,3.231118231,3.18263415,3.136136054,3.091629813,3.049121299,3.008616384,2.970120938,2.933629866,2.899072713,2.866354922,2.835381896,2.80605904,2.778291757,2.751985451,2.727045525,2.703377384,2.680886431,2.659478071,2.639057706,2.619540044,2.600885136,2.583066833,2.566058986,2.549835447,2.53437007,2.519636707,2.505609211,2.492261433,2.479567227,2.467500445,2.456034939
2022-08-24,2.094005997,2.504390144,2.888336821,3.24108954,3.550801364,3.811097305,4.01717237,4.168406496,4.270316258,4.331719474,4.361835918,4.367156571,4.354855079,4.328179819,4.289224869,4.240084312,4.182852228,4.119622698,4.052375248,3.982440569,3.91092117,3.838919311,3.767537251,3.697877248,3.630914362,3.566865788,3.505669194,3.447261803,3.391580844,3.33856354,3.288147118,3.240268804,3.194865823,3.151875402,3.111234765,3.072881138,3.03674375,3.002708744,2.970647826,2.940432689,2.911935027,2.885026534,2.859578904,2.83546383,2.812553007,2.790718128,2.769830887,2.749762979,2.730403348,2.711717109,2.693690388,2.676309313,2.659560012,2.643428612,2.627901241,2.612964027,2.598603096,2.584804577,2.571554597,2.558839284
2022-08-25,2.068340812,2.471448113,2.856184373,3.206694481,3.509502938,3.759362054,3.954986662,4.095643152,4.187726358,4.239408209,4.259202702,4.254539286,4.233886149,4.200757568,4.157250483,4.10546183,4.04748855,3.985427579,3.921197551,3.855803552,3.789958883,3.724376718,3.659770232,3.596852597,3.536239838,3.478024716,3.422124593,3.368456704,3.316938282,3.267486563,3.220018781,3.17445217,3.130703966,3.088691403,3.048331715,3.009542137,2.972245776,2.936394364,2.901948343,2.868868157,2.837114249,2.806647063,2.777427044,2.749414633,2.722570277,2.696854417,2.672227498,2.648649964,2.626085447,2.604511656,2.583910184,2.564262623,2.545550568,2.527755611,2.510859344,2.494843361,2.479689255,2.465378619,2.451893046,2.439214128
2022-08-26,2.130767202,2.525545955,2.900348694,3.237083027,3.525200705,3.762140325,3.947096689,4.080891213,4.169628973,4.221026957,4.242290007,4.240061003,4.220776599,4.187833217,4.143566517,4.090311391,4.03040273,3.966175423,3.8997288,3.832069466,3.763887407,3.695872576,3.628714929,3.563104419,3.499636615,3.438446997,3.379531058,3.322884262,3.268502068,3.21637994,3.166513338,3.118897724,3.073528561,3.030401309,2.98951143,2.950854387,2.914410627,2.880094322,2.847801355,2.81742761,2.788868971,2.762021323,2.736780549,2.713042532,2.690703158,2.669658309,2.649803869,2.631035724,2.613259047,2.596420035,2.5804762,2.565385057,2.551104117,2.537590895,2.524802903,2.512697654,2.501232663,2.490365442,2.480053504,2.470254363
2022-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-30,2.251264299,2.598041174,2.980014998,3.328479367,3.619409797,3.853286852,4.034054346,4.167761882,4.259627746,4.316566176,4.34425801,4.348027757,4.332833488,4.301768062,4.257452872,4.202509308,4.139558761,4.071222623,3.999883905,3.926819832,3.852987225,3.779342873,3.706843563,3.636446082,3.568951962,3.504477286,3.442949037,3.384294189,3.328439719,3.275312601,3.22483981,3.176948323,3.131565114,3.08861716,3.048031435,3.009734914,2.973650398,2.939678195,2.907711074,2.877641797,2.849363129,2.822767833,2.797748672,2.77419841,2.75200981,2.731075636,2.711288651,2.692541619,2.674736337,2.657823263,2.641769166,2.626540827,2.612105026,2.598428544,2.585478161,2.573220659,2.561622818,2.550651419,2.540273242,2.530455068
2022-08-31,2.280559949,2.609055206,2.992231704,3.356826428,3.663673654,3.905746484,4.086693609,4.218020314,4.30743509,4.362747183,4.389956642,4.394546862,4.381005877,4.352081073,4.310122974,4.257482103,4.196508985,4.129554141,4.058749536,3.985394948,3.910592122,3.835442803,3.761048735,3.688511664,3.61879184,3.552087396,3.488341002,3.427495143,3.369492304,3.314274969,3.261785624,3.211966753,3.164760841,3.120110374,3.077957835,3.038245711,3.000909046,2.965846625,2.932946198,2.902095515,2.873182324,2.846094373,2.820719411,2.796945185,2.774659446,2.75374994,2.734104417,2.715610625,2.698166451,2.681719204,2.666231232,2.651664884,2.63798251,2.62514646,2.613119084,2.601862732,2.591339755,2.581512501,2.572343322,2.563794568
2022-09-01,2.339101584,2.676739586,3.079126768,3.44964547,3.751284147,3.985774906,4.15880153,4.281433375,4.363723545,4.414017606,4.43877004,4.442407433,4.428787768,4.400447968,4.35957912,4.308372312,4.249018632,4.183709167,4.114436349,4.04243621,3.968764784,3.894478103,3.820632202,3.748283112,3.678345652,3.611046261,3.546401937,3.484429628,3.425146283,3.36856885,3.314714278,3.263599515,3.215241511,3.169657212,3.126863569,3.08687753,3.049693442,3.015205874,2.983281865,2.953788456,2.926592685,2.901561592,2.878562216,2.857461598,2.838126775,2.820424788,2.804222677,2.78938748,2.775796364,2.763371207,2.752046222,2.741755624,2.732433624,2.724014437,2.716432277,2.709621356,2.703515888,2.698050086,2.693158165,2.688774337
2022-09-02,2.345334568,2.67739898,3.067729246,3.425097095,3.717634058,3.946064433,4.114477035,4.233050225,4.312260671,4.359909344,4.381946915,4.382780377,4.365876391,4.333879837,4.289222248,4.234335103,4.171649887,4.103598079,4.032403502,3.959326687,3.88534905,3.811451979,3.738616861,3.667825083,3.599905714,3.535015347,3.47312505,3.414205886,3.358228918,3.305165209,3.254985822,3.207661819,3.163164263,3.121464218,3.082532745,3.046340908,3.012839855,2.981892812,2.953338749,2.927016633,2.902765436,2.880424125,2.85983167,2.840827039,2.823249202,2.806937128,2.791729785,2.777466142,2.764006219,2.751302964,2.739334964,2.728080809,2.717519087,2.707628385,2.698387293,2.689774399,2.68176829,2.674347556,2.667490785,2.661176565
2022-09-05,2.430578564,2.787903119,3.188402879,3.550910776,3.844890895,4.071936909,4.238646546,4.355838026,4.433704548,4.480331324,4.501976225,4.503763605,4.489876977,4.462708021,4.42422556,4.376398414,4.321195405,4.260585353,4.196352566,4.129578805,4.061178644,3.992066659,3.923157425,3.855365518,3.789471067,3.725660631,3.663957013,3.604383011,3.546961424,3.49171505,3.438666688,3.387839135,3.339255189,3.29293765,3.248909315,3.207192982,3.16779262,3.130629061,3.095600201,3.062603938,3.031538167,3.002300786,2.974789689,2.948902774,2.924537937,2.901593074,2.879966082,2.859554856,2.840264994,2.822043571,2.804851564,2.788649962,2.773399753,2.759061926,2.745597468,2.732967369,2.721132615,2.710054196,2.699693099,2.690010313
2022-09-06,2.385485301,2.759026461,3.172763096,3.544667638,3.845133946,4.075342367,4.240888239,4.354635025,4.427667584,4.470225684,4.488962445,4.489153978,4.474980098,4.448717945,4.412206591,4.367285106,4.315792561,4.259568026,4.200274892,4.138907634,4.07630155,4.013291933,3.950714079,3.889403283,3.830068806,3.772863477,3.717786612,3.664837526,3.614015531,3.565319941,3.518750069,3.474305228,3.431984731,3.391787892,3.353714024,3.317762439,3.283920222,3.252108587,3.222226669,3.194173587,3.167848458,3.143150403,3.11997854,3.098231988,3.077809864,3.058611289,3.040535381,3.023481258,3.007357118,2.992115412,2.977722058,2.964142974,2.951344081,2.939291297,2.927950543,2.917287739,2.907268803,2.897859656,2.889026217,2.880734406
2022-09-07,2.345378776,2.729886833,3.139897492,3.492552619,3.764464011,3.96706705,4.111043158,4.209770321,4.273646981,4.310910463,4.32704315,4.326248616,4.311584515,4.285085705,4.248580911,4.203898865,4.152868293,4.097317925,4.038915174,3.978713238,3.917619151,3.856539945,3.796382653,3.738054309,3.682339711,3.629365271,3.579036713,3.531259597,3.485939487,3.442981944,3.40229253,3.363776808,3.327340339,3.292888686,3.26032741,3.229562074,3.20049851,3.173043862,3.147105677,3.122591498,3.099408873,3.077465346,3.056668463,3.036925769,3.018144809,3.000233129,2.983098274,2.966647789,2.950801979,2.935537474,2.920846446,2.906721065,2.893153502,2.880135931,2.86766052,2.855719443,2.844304871,2.833408974,2.823023924,2.813141892
2022-09-08,2.371004138,2.763924422,3.168179675,3.513037553,3.779631275,3.978198217,4.119158625,4.215405664,4.278123833,4.3151864,4.332694017,4.334378024,4.322913387,4.300196483,4.267947032,4.22788475,4.181729355,4.131200565,4.077866571,4.022718616,3.966610647,3.910396611,3.854930457,3.801066131,3.749531923,3.700443588,3.653730513,3.609322043,3.567147523,3.527136296,3.489217706,3.453321099,3.419375817,3.387311206,3.35705661,3.328541372,3.301692061,3.276422989,3.252645086,3.230269282,3.209206507,3.189367692,3.170663767,3.153005662,3.136304307,3.120470633,3.10541557,3.091050048,3.077296536,3.064128447,3.051533246,3.039498401,3.028011379,3.017059647,3.006630672,2.996711921,2.98729086,2.978354958,2.96989168,2.961888494
2022-09-09,2.410896334,2.787558731,3.190057021,3.538077993,3.806347013,4.00220228,4.136929757,4.224955118,4.278685767,4.306773896,4.315383216,4.308554365,4.28941829,4.260011024,4.222055345,4.177273956,4.127389563,4.07412487,4.019051678,3.963041784,3.906764158,3.850887747,3.796081501,3.743014366,3.692244041,3.643837052,3.597724423,3.553837174,3.512106324,3.472462893,3.434837899,3.399162362,3.365367302,3.333383737,3.303142687,3.274575172,3.247610279,3.222168569,3.198168252,3.175527535,3.154164627,3.133997737,3.114945074,3.096924846,3.079855261,3.063654529,3.048240857,3.033532455,3.019457783,3.005990562,2.993116998,2.980823301,2.969095677,2.957920336,2.947283484,2.93717133,2.927570082,2.918465947,2.909845133,2.901693849
2022-09-12,2.424143883,2.813901677,3.212336539,3.556331421,3.820060372,4.010334605,4.138946671,4.220882953,4.269015044,4.292492982,4.297794644,4.289621382,4.271489126,4.245067565,4.211598878,4.172325243,4.128488839,4.081331844,4.03197663,3.9810894,3.929227801,3.87694948,3.824812083,3.773373259,3.723111766,3.674158084,3.626546607,3.580311724,3.535487828,3.492109308,3.450210556,3.409825963,3.370989918,3.333736814,3.29810104,3.264116988,3.231804613,3.201120143,3.172002223,3.144389497,3.118220611,3.093434209,3.069968936,3.047763437,3.026756356,3.006886339,2.988092029,2.970312073,2.953488975,2.937586033,2.922573515,2.908421695,2.895100846,2.882581241,2.870833153,2.859826856,2.849532622,2.839920725,2.830961437,2.822625033
